Collection site,name0,name1,Al1,Al2,Al3,Al4,Al5,Al6,Al7,Old prob,Cluster
UNISYD,104.2RGSYD8,104.2RG,157,143,175,154,206,233,137,0.950166692,PC2018
UNISYD,68.2RGSYD8,68.2RG,159,152,184,152,201,231,137,0.95023727,PC2018
1 Oberon Cresc,47.8RGSYD8,47.8RG,166,143,175,150,203,235,137,0.950736531,PC2018
92 Griffiths St. balgowlah,51.18RGSYD8,51.18RG,170,143,187,152,203,235,137,0.951578484,PC2018
Kate´s place Unit 6 2-4 Wood st. Manley,97.19RGSYD8,97.19RG,172,143,184,152,206,235,149,0.951589553,PC2018
38 Park Ave Ashfield,17.12RGSYD8,17.12RG,159,146,178,150,203,233,137,0.951843457,PC2018
25 Strickland Ave.,6.4RGSYD8,6.4RG,168,152,184,152,209,231,149,0.951853193,PC2018
25 Strickland Ave.,9.4RGSYD8,9.4RG,168,152,184,152,209,231,149,0.951853193,PC2018
25 Strickland Ave.,26.4RGSYD8,26.4RG,168,152,184,152,209,231,149,0.951853193,PC2018
Kate´s place Unit 6 2-4 Wood st. Manley,55.19RGSYD8,55.19RG,172,143,181,152,209,231,149,0.951887297,PC2018
92 Griffiths St. balgowlah,27.18RGSYD8,27.18RG,159,146,175,132,201,231,149,0.952069974,PC2018
92 Griffiths St. balgowlah,101.18RGSYD8,101.18RG,159,146,178,152,209,233,153,0.952128148,PC2018
67-71 Eton St Sutherland,13.6RGSYD8,13.6RG,159,146,184,154,205,233,153,0.9523445,PC2018
67-71 Eton St Sutherland,86.6RGSYD8,86.6RG,170,146,178,154,201,231,137,0.952374754,PC2018
430 Mona Vale Rd.,134.1RGSYD8,134.1RG,166,146,181,152,201,233,149,0.952434528,PC2018
67-71 Eton St Sutherland,89.6RGSYD8,89.6RG,172,146,184,152,201,231,137,0.95261112,PC2018
92 Griffiths St. balgowlah,172.18RGSYD8,172.18RG,159,152,181,152,201,235,149,0.952815174,PC2018
25 Strickland Ave.,50.4RGSYD8,50.4RG,161,143,175,152,209,231,153,0.952858813,PC2018
38 Park Ave Ashfield,111.12RGSYD8,111.12RG,166,146,184,152,203,233,137,0.95287822,PC2018
8 Treatts Rd,18.5RGSYD8,18.5RG,166,143,184,154,203,233,137,0.953166058,PC2018
92 Griffiths St. balgowlah,181.18RGSYD8,181.18RG,168,146,184,152,210,235,137,0.953316262,PC2018
92 Griffiths St. balgowlah,121.18RGSYD8,121.18RG,170,146,175,172,203,233,149,0.953458395,PC2018
430 Mona Vale Rd.,149.3RGSYD8,149.3RG,170,143,181,134,205,235,149,0.953640064,PC2018
Kate´s place Unit 6 2-4 Wood st. Manley,18.19RGSYD8,18.19RG,159,146,184,154,201,233,140,0.954201131,PC2018
4 Goodlet St. Surry Hills,8.17RGSYD8,8.17RG,170,146,184,154,205,235,153,0.954427189,PC2018
92 Griffiths St. balgowlah,175.18RGSYD8,175.18RG,170,143,178,154,205,231,137,0.954496625,PC2018
67-71 Eton St Sutherland,47.6RGSYD8,47.6RG,172,143,175,134,203,235,149,0.955251869,PC2018
7th Fourth Avenue Jannali,43.11RGSYD8,43.11RG,159,143,184,138,203,233,153,0.955300473,PC2018
430 Mona Vale Rd.,25.3RGSYD8,25.3RG,159,143,178,138,203,233,149,0.955683717,PC2018
430 Mona Vale Rd.,27.1RGSYD8,27.1RG,159,143,178,138,203,233,149,0.955683717,PC2018
430 Mona Vale Rd.,42.1RGSYD8,42.1RG,159,143,178,138,203,233,149,0.955683717,PC2018
430 Mona Vale Rd.,43.1RGSYD8,43.1RG,159,143,178,138,203,233,149,0.955683717,PC2018
430 Mona Vale Rd.,44.1RGSYD8,44.1RG,159,143,178,138,203,233,149,0.955683717,PC2018
430 Mona Vale Rd.,67.3RGSYD8,67.3RG,159,143,178,138,203,233,149,0.955683717,PC2018
430 Mona Vale Rd.,103.1RGSYD8,103.1RG,159,143,178,138,203,233,149,0.955683717,PC2018
430 Mona Vale Rd.,120.1RGSYD8,120.1RG,159,143,178,138,203,233,149,0.955683717,PC2018
430 Mona Vale Rd.,140.1RGSYD8,140.1RG,159,143,178,138,203,233,149,0.955683717,PC2018
430 Mona Vale Rd.,150.1RGSYD8,150.1RG,159,143,178,138,203,233,149,0.955683717,PC2018
430 Mona Vale Rd.,157.1RGSYD8,157.1RG,159,143,178,138,203,233,149,0.955683717,PC2018
4 Goodlet St. Surry Hills,89.7RGSYD8,89.7RG,168,143,181,152,203,235,140,0.956181427,PC2018
67-71 Eton St Sutherland,109.6RGSYD8,109.6RG,172,143,175,150,203,235,153,0.956760635,PC2018
UNISYD,94.2RGSYD8,94.2RG,168,146,178,152,210,233,149,0.95699648,PC2018
20 Philip Rd Mona Vale,1.9RGSYD8,1.9RG,168,143,178,154,210,233,149,0.95725973,PC2018
92 Griffiths St. balgowlah,60.18RGSYD8,60.18RG,168,143,175,152,205,235,157,0.957577939,PC2018
Strickland Avenue 25,5.15RGSYD8,5.15RG,161,143,175,152,205,235,153,0.95794265,PC2018
25 Strickland Ave.,42.4RGSYD8,42.4RG,161,143,175,152,205,235,153,0.95794265,PC2018
beauford Ave Ros parents,48.14RGSYD8,48.14RG,159,143,181,160,209,233,149,0.958237363,PC2018
430 Mona Vale Rd.,146.1RGSYD8,146.1RG,168,143,175,152,212,233,153,0.958643606,PC2018
20 Philip Rd Mona Vale,73.9RGSYD8,73.9RG,161,143,184,152,205,233,153,0.958842724,PC2018
92 Griffiths St. balgowlah,122.18RGSYD8,122.18RG,168,143,184,150,205,233,140,0.959017688,PC2018
Kate´s place Unit 6 2-4 Wood st. Manley,43.19RGSYD8,43.19RG,170,146,184,164,201,233,149,0.959281113,PC2018
UNISYD,124.2RGSYD8,124.2RG,157,146,184,154,201,235,137,0.959656957,PC2018
1 Oberon Cresc,39.8RGSYD8,39.8RG,170,143,175,164,205,235,149,0.96024989,PC2018
20 Philip Rd Mona Vale,21.9RGSYD8,21.9RG,168,143,175,148,209,235,137,0.960309286,PC2018
UNISYD,24.2RGSYD8,24.2RG,168,152,175,154,201,235,137,0.960544816,PC2018
Ros House Woodland street,80.13RGSYD8,80.13RG,168,143,175,132,201,235,153,0.960825371,PC2018
Ros House Woodland street,63.13RGSYD8,63.13RG,159,143,187,150,203,233,149,0.96087433,PC2018
67-71 Eton St Sutherland,75.6RGSYD8,75.6RG,172,143,175,138,201,235,149,0.960883631,PC2018
4 Goodlet St. Surry Hills,42.17RGSYD8,42.17RG,168,143,184,132,201,233,153,0.961664992,PC2018
Kate´s place Unit 6 2-4 Wood st. Manley,154.19RGSYD8,154.19RG,168,143,184,154,206,231,137,0.961784311,PC2018
20 Philip Rd Mona Vale,76.9RGSYD8,76.9RG,172,143,175,150,205,233,153,0.96226972,PC2018
UNISYD,108.2RGSYD8,108.2RG,159,140,175,152,203,233,137,0.962398268,PC2018
92 Griffiths St. balgowlah,66.18RGSYD8,66.18RG,159,146,181,152,205,231,137,0.962531191,PC2018
430 Mona Vale Rd.,103.3RGSYD8,103.3RG,159,152,175,152,201,233,140,0.962786292,PC2018
92 Griffiths St. balgowlah,36.18RGSYD8,36.18RG,159,146,184,150,206,233,137,0.962899111,PC2018
8 Treatts Rd,57.5RGSYD8,57.5RG,159,143,184,150,209,235,140,0.963140389,PC2018
430 Mona Vale Rd.,131.1RGSYD8,131.1RG,159,149,175,152,201,235,149,0.963172472,PC2018
beauford Ave Ros parents,85.14RGSYD8,85.14RG,170,146,181,160,203,233,149,0.963534445,PC2018
beauford Ave Ros parents,108.14RGSYD8,108.14RG,170,146,181,160,203,233,149,0.963534445,PC2018
beauford Ave Ros parents,118.14RGSYD8,118.14RG,170,146,181,160,203,233,149,0.963534445,PC2018
