Filavacia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.9994,0.0986,104.2RG,137.2RG,50.9RG,88.2RG,73.13RG,86.2RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.5019,0.0495,68.2RG,89.6RG,74.13RG,56.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,0.0508,47.8RG,30.17RG,14.1RG,91.13RG,15.12RG,117.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.9999,0.0938,51.18RG,55.9RG,2.17RG,133.13RG,90.18RG,30.2RG,148.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.8851,0.0878,97.19RG,19.18RG,51.17,121.1,5.7,122.6,166.6,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.5194,0.0514,17.12RG,80.9RG,32.2RG,5.9RG,73.2,81.12,52.2,90.2,91.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.9907,0.0981,6.4RG,9.4RG,26.4RG,34.4,38.4,45.4,66.4,51.4,57.4,7.4,14.4,46.4,54.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.823,0.0808,55.19RG,53.8,1.6,38.8,176.18,96.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.9994,0.0941,27.18RG,76.2RG,42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.9998,0.0992,101.18RG,133.2RG,22.13RG,8.13RG,125.12RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,0.099,13.6RG,94.2RG,1.9RG,135.12RG,71.2RG,95.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1,0.0962,86.6RG,175.18RG,92.11,58.3,31.1,64.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1,0.0989,134.1RG,36.12RG,49.7RG,21.12RG,184.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.9962,0.0968,172.18RG,89.7RG,103.3RG,116.1,25.7,45.6,146.19,4.17,87.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1,0.0978,50.4RG,13.4RG,56.4RG,16.4RG,33.4RG,44.4RG,41.4,21.15,24.4,47.4,62.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.9964,0.0987,111.12RG,2.7RG,31.8,22.11,119.18,18.2,140.12,70.13,54.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1,0.0977,18.5RG,43.11RG,44.11RG,149.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.9988,0.0989,181.18RG,130.18RG,168.13RG,28.7,98.2,54.2,75.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.9996,0.1037,121.18RG,139.12,56.13,11.18,57.13,185.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1,0.0997,149.3RG,177.6,188.6,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1,0.0989,18.19RG,52.17RG,31.17RG,1.2RG,94.13,93.13,43.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1,0.0989,8.17RG,26.14RG,45.12RG,85.18,101.19,144.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,0.0992,47.6RG,73.9RG,32.7RG,124.11,56.2,7.5,51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1,0.0993,25.3RG,27.1RG,42.1RG,43.1RG,44.1RG,67.3RG,103.1RG,120.1RG,140.1RG,150.1RG,157.1RG,2.1RG,3.1RG,16.1RG,28.1RG,70.1RG,74.1RG,76.1RG,79.1RG,91.1RG,92.1RG,122.1RG,123.1RG,141.1RG,,,,,,,,,,,,,,,,,,,,,,,
25,1,0.0993,109.6RG,10.3,44.6,132.9,20.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1,0.0877,60.18RG,166.11,56.11,165.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1,0.099,5.15RG,42.4RG,14.15RG,36.4RG,18.4RG,21.4RG,43.4RG,32.4RG,4.4,27.4,28.4,52.4,9.15,59.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1,0.0994,48.14RG,31.14RG,36.14RG,100.14RG,135.14RG,19.14RG,42.14RG,121.14RG,86.14RG,16.14,35.14,103.14,109.14,58.14,65.14,104.14,88.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.956,0.0774,146.1RG,133.6,154.11,190.6,130.11,114.2,73.1,51.3,66.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1,0.0989,122.18RG,57.5RG,23.2RG,9.9,53.17,59.17,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1,0.1824,43.19RG,59.13RG,31.6RG,183.6RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.8433,0.056,124.2RG,28.18RG,80.18,137.1,35.1,128.2,6.15,77.2,58.7,92.2,144.6,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.9998,0.0941,39.8RG,21.1,137.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1,0.0972,21.9RG,187.6,138.1,64.8,126.9,106.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1,0.0762,24.2RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,0.9998,0.1262,80.13RG,122.3,102.11,122.12,60.6,75.11,70.18,178.6,55.12,87.12,102.13,40.1,150.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,0.0987,63.13RG,99.9RG,39.13RG,59.3RG,148.12RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1,0.0983,75.6RG,97.6,100.6,191.6,149.11,20.6,62.18,21.11,138.11,116.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,0.1018,42.17RG,74.11RG,92.12RG,19.7RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1,0.0837,154.19RG,142.19RG,49.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0.9779,0.0434,76.9RG,3.11,158.11,48.6,17.17,143.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0.9997,0.082,108.2RG,35.18RG,4.6RG,9.13RG,137.12RG,130.12,83.13,64.13,116.2,112.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0.9999,0.0983,66.18RG,58.18RG,95.18RG,52.13,93.18,37.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1,0.0978,36.18RG,57.12RG,19.3RG,99.2RG,60.9,23.18,129.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0.94,0.0868,131.1RG,128.3RG,102.5,123.6,169.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,1,0.099,85.14RG,108.14RG,118.14RG,129.14RG,6.14RG,80.14RG,130.14RG,115.14RG,71.14,96.14,49.14,50.14,105.14,136.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.9691,0.0955,114.13RG,75.13RG,138.14RG,186.11RG,53.12RG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0.9878,0.0978,69.8RG,71.17RG,38.9,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0.9135,0.0888,100.12RG,152.3,35.8,135.2,26.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1,0.0986,93.19RG,55.13RG,137.13RG,2.13RG,102.14RG,91.19RG,131.19RG,147.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0.4919,0.0488,160.18RG,29.18,159.13,42.9,126.3,41.12,107.18,139.18,103.2,145.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
