oldfam,,,,,,,,,,,,,,
1,1,0.7852,536.2RGQL,248.2RGQL,400.2RGQL,407.2RGQL,,,,,,,,
2,1,0.0945,257.2RGQL,339.2RGQL,,,,,,,,,,
3,1,0.2752,238.2RGQL,223.2RGQL,182.2RGQL,34.2QL,,,,,,,,
4,1,0.1592,203.2RGQL,317.2RGQL,357.2RGQL,43.2QL,,,,,,,,
5,0.2862,0.0314,100.2RGQL,375.2RGQL,14.2QL,363.2QL,234.2QL,,,,,,,
6,1,0.1043,209.2RGQL,371.2RGQL,,,,,,,,,,
7,1,0.1635,15.2RGQL,149.2RGQL,535.2QL,,,,,,,,,
8,0.965,0.0943,268.2RGQL,72.2RGQL,230.2RGQL,,,,,,,,,
9,1,0.3565,265.2RGQL,177.2RGQL,433.2RGQL,,,,,,,,,
10,1,0.3451,150.2RGQL,267.2RGQL,44.2RGQL,294.2QL,178.2QL,,,,,,,
11,1,0.6251,46.2RGQL,510.2RGQL,191.2RGQL,507.2RGQL,,,,,,,,
12,1,0.7049,439.2RGQL,202.2RGQL,485.2RGQL,532.2QL,328.2QL,,,,,,,
13,1,0.2679,320.2RGQL,396.2RGQL,35.2RGQL,482.2QL,,,,,,,,
14,1,0.0901,59.2RGQL,311.2RGQL,,,,,,,,,,
15,1,0.0976,481.2RGQL,213.2RGQL,,,,,,,,,,
16,1,0.1644,295.2RGQL,89.2RGQL,398.2RGQL,,,,,,,,,
17,0.9972,0.3588,254.2RGQL,57.2RGQL,300.2RGQL,473.2RGQL,,,,,,,,
18,1,0.0986,314.2RGQL,129.2RGQL,393.2RGQL,441.2QL,,,,,,,,
19,1,0.1827,468.2RGQL,347.2RGQL,99.2RGQL,421.2RGQL,,,,,,,,
20,1,0.1938,196.2RGQL,41.2RGQL,26.2QL,,,,,,,,,
21,1,0.0994,534.2RGQL,266.2RGQL,13.2QL,,,,,,,,,
22,1,0.1312,368.2RGQL,141.2RGQL,273.2QL,,,,,,,,,
23,0.2624,0.0462,308.2RGQL,195.2RGQL,424.2RGQL,358.2QL,52.2QL,,,,,,,
24,1,0.0885,181.2RGQL,362.2RGQL,409.2RGQL,,,,,,,,,
25,1,0.2669,332.2RGQL,495.2RGQL,477.2RGQL,,,,,,,,,
26,1,0.0952,531.2RGQL,237.2RGQL,249.2RGQL,,,,,,,,,
27,0.0429,0.0042,373.2RGQL,290.2QL,335.2QL,105.2QL,278.2QL,359.2QL,,,,,,
28,1,0.0279,315.2RGQL,,,,,,,,,,,
29,1,0.0969,94.2RGQL,381.2RGQL,,,,,,,,,,
30,0.0368,0.0041,62.2RGQL,425.2QL,63.2QL,365.2QL,260.2QL,189.2QL,498.2QL,,,,,
31,1,0.2084,276.2RGQL,316.2RGQL,174.2RGQL,454.2RGQL,,,,,,,,
32,0.991,0.0705,117.2RGQL,523.2RGQL,546.2QL,221.2QL,,,,,,,,
33,0.347,0.1183,405.2RGQL,22.2RGQL,74.2RGQL,163.2QL,,,,,,,,
34,1,0.094,250.2RGQL,466.2RGQL,,,,,,,,,,
35,1,0.112,127.2RGQL,50.2RGQL,27.2RGQL,205.2QL,,,,,,,,
36,1,0.0983,130.2RGQL,280.2RGQL,367.2RGQL,389.2QL,235.2QL,,,,,,,
37,1,0.1959,503.2RGQL,513.2RGQL,383.2QL,346.2QL,309.2QL,,,,,,,
38,1,0.1083,392.2RGQL,310.2RGQL,420.2RGQL,111.2RGQL,329.2QL,,,,,,,
39,1,0.6269,137.2RGQL,543.2RGQL,478.2QL,434.2QL,,,,,,,,
40,0.9911,0.6283,212.2RGQL,291.2RGQL,469.2RGQL,453.2RGQL,298.2RGQL,116.2RGQL,,,,,,
41,1,0.1918,292.2RGQL,496.2RGQL,134.2RGQL,270.2QL,,,,,,,,
42,0.9993,0.2207,282.2RGQL,322.2RGQL,499.2QL,200.2QL,88.2QL,,,,,,,
43,1,0.007,103.2RGQL,30.2RGQL,140.2QL,517.2QL,136.2QL,540.2QL,,,,,,
44,0.7804,0.3114,110.2RGQL,51.2RGQL,456.2RGQL,353.2QL,222.2QL,,,,,,,
45,0.9989,0.121,516.2RGQL,162.2RGQL,71.2QL,102.2QL,404.2QL,524.2QL,,,,,,
46,1,0.1386,397.2RGQL,96.2RGQL,542.2RGQL,394.2QL,18.2QL,428.2QL,,,,,,
47,1,0.0535,264.2RGQL,506.2RGQL,245.2QL,297.2QL,,,,,,,,
48,1,0.2341,48.2RGQL,73.2RGQL,508.2RGQL,176.2QL,343.2QL,,,,,,,
49,0.9307,0.0889,411.2RGQL,37.2QL,324.2QL,10.2QL,,,,,,,,
50,0.3024,0.0329,128.2RGQL,408.2QL,445.2QL,201.2QL,80.2QL,,,,,,,
51,0.9947,0.1152,120.2RGQL,193.2RGQL,64.2QL,23.2QL,274.2QL,210.2QL,370.2QL,275.2QL,272.2QL,,,
52,1,0.0904,493.2RGQL,474.2RGQL,,,,,,,,,,
53,1,0.0574,296.2RGQL,437.2RGQL,,,,,,,,,,
