(Fila vacia),,,,,,,,,,,,,,,,,,
1,0.9991,0.8181,536.2RG,248.2RG,400.2RG,407.2RG,398.4RG,,,,,,,,,,,
2,1,0.0993,95.4RG,319.1RG,158.4RG,209.3RG,86.1,525.1,75.3,,,,,,,,,
3,1,0.0955,233.3RG,33.1RG,,,,,,,,,,,,,,
4,1,0.2362,453.1RG,267.2RG,220.4RG,244.5RG,,,,,,,,,,,,
5,1,0.099,101.4RG,417.4RG,523.1RG,244.3,,,,,,,,,,,,
6,1,0.113,257.2RG,457.3RG,179.1RG,,,,,,,,,,,,,
7,1,0.2685,363.3RG,52.1RG,242.3RG,300.4RG,,,,,,,,,,,,
8,1,0.2076,238.2RG,310.1RG,17.5RG,213.2RG,429.1RG,541.2RG,,,,,,,,,,
9,1,0.1275,450.4RG,437.4RG,127.4RG,448.1RG,296.1RG,,,,,,,,,,,
10,1,0.0999,203.2RG,32.4RG,357.2RG,366.4RG,,,,,,,,,,,,
11,1,0.0856,313.4RG,,,,,,,,,,,,,,,
12,1,0.1007,100.2RG,426.3RG,375.2RG,546.2,,,,,,,,,,,,
13,1,0.0872,158.1RG,493.2RG,474.2RG,,,,,,,,,,,,,
14,1,0.0981,275.4RG,129.4RG,243.5RG,192.2,326.2,,,,,,,,,,,
15,0.977,0.1557,330.4RG,327.4RG,397.2RG,51.2RG,,,,,,,,,,,,
16,1,0.0946,339.4RG,180.2RG,,,,,,,,,,,,,,
17,1,0.1352,209.2RG,232.3RG,371.2RG,,,,,,,,,,,,,
18,1,0.0984,181.3RG,18.1RG,186.3RG,302.3,,,,,,,,,,,,
19,1,0.0987,221.1RG,233.1RG,113.4RG,20.2,,,,,,,,,,,,
20,1,0.0983,15.2RG,446.3RG,168.5,,,,,,,,,,,,,
21,1,0.0988,268.2RG,365.3RG,230.2RG,436.4RG,108.2RG,168.2RG,243.3RG,,,,,,,,,
22,1,0.0973,182.1RG,419.4RG,,,,,,,,,,,,,,
23,0.7034,0.0709,333.5RG,396.5RG,82.3RG,389.2,109.2,377.2,172.1,409.1,,,,,,,,
24,1,0.111,265.2RG,100.5RG,349.2RG,245.5RG,420.3RG,197.4RG,,,,,,,,,,
25,1,0.3588,150.2RG,355.2RG,388.2RG,334.2RG,174.5RG,,,,,,,,,,,
26,0.8682,0.086,46.2RG,426.4RG,426.1RG,432.4,,,,,,,,,,,,
27,1,0.1016,161.4RG,249.1RG,53.1RG,369.2RG,423.1,,,,,,,,,,,
28,1,0.0995,449.3RG,84.3RG,395.3RG,420.1RG,334.1,371.4,204.1,145.1,5.4,43.1,,,,,,
29,1,0.1443,439.2RG,196.2RG,452.2RG,70.1RG,,,,,,,,,,,,
30,1,0.0901,170.4RG,284.3RG,,,,,,,,,,,,,,
31,0.9749,0.0988,320.2RG,282.3RG,509.1RG,,,,,,,,,,,,,
32,1,0.0988,380.4RG,177.2RG,487.2RG,15.3,,,,,,,,,,,,
33,1,0.0996,82.4RG,496.1RG,183.3RG,421.1RG,,,,,,,,,,,,
34,1,0.0975,148.3RG,151.3RG,103.5,,,,,,,,,,,,,
35,0.9879,0.3012,26.4RG,227.5RG,477.3RG,535.2,292.3,308.4,,,,,,,,,,
36,1,0.0997,335.1RG,129.5RG,200.4RG,380.1,143.1,,,,,,,,,,,
37,1,0.1053,59.2RG,52.3RG,394.3RG,335.4RG,80.5RG,342.4RG,76.4RG,311.2RG,116.2RG,185.3,422.1,,,,,
38,0.998,0.0992,333.3RG,104.4RG,375.1RG,40.1RG,97.3,293.4,,,,,,,,,,
39,1,0.101,115.3RG,291.1RG,347.3RG,,,,,,,,,,,,,
40,1,0.1131,121.1RG,26.3RG,177.1RG,264.4RG,,,,,,,,,,,,
41,0.9977,0.0974,491.1RG,258.3RG,433.1RG,239.2,,,,,,,,,,,,
42,1,0.0976,481.2RG,178.1RG,392.4,,,,,,,,,,,,,
43,1,0.0393,295.2RG,507.1RG,237.2RG,43.5RG,434.2,,,,,,,,,,,
44,1,0.0961,76.3RG,296.2RG,437.2RG,,,,,,,,,,,,,
45,1,0.3759,42.4RG,511.1RG,97.5RG,14.1RG,362.2RG,543.2RG,,,,,,,,,,
46,1,0.4481,6.1RG,159.1RG,179.3RG,50.5RG,,,,,,,,,,,,
47,1,0.1006,240.3RG,48.2RG,326.5RG,389.5RG,73.2RG,40.4RG,51.3,,,,,,,,,
48,1,0.1356,254.2RG,303.3RG,313.3RG,314.5RG,377.5RG,277.4,,,,,,,,,,
49,1,0.0995,510.2RG,92.3RG,280.2RG,45.4RG,,,,,,,,,,,,
50,1,0.0945,314.2RG,129.2RG,393.2RG,,,,,,,,,,,,,
51,0.2704,0.0171,291.3RG,219.2RG,319.2,353.1,163.2,335.3,305.3,12.4,,,,,,,,
52,1,0.0665,256.3RG,252.4RG,234.4RG,21.1RG,,,,,,,,,,,,
53,1,0.0967,360.3RG,135.4RG,315.5RG,378.5RG,,,,,,,,,,,,
54,1,0.1019,355.1RG,64.1RG,477.2RG,169.2RG,,,,,,,,,,,,
55,1,0.1185,4.1RG,235.1RG,206.3RG,213.1,120.3,,,,,,,,,,,
56,1,0.0992,468.2RG,503.1RG,339.2RG,55.2,78.2,323.4,326.3,358.4,,,,,,,,
57,1,0.099,434.4RG,211.5,178.2,327.5,390.5,154.4,294.4,304.4,433.3,,,,,,,
58,0.9719,0.1015,148.1RG,463.3RG,351.3RG,107.3RG,,,,,,,,,,,,
59,1,0.0982,534.2RG,266.2RG,13.2,,,,,,,,,,,,,
60,1,0.0978,232.5RG,128.2RG,294.3RG,452.1,,,,,,,,,,,,
61,1,0.0991,224.5RG,39.5RG,66.4,,,,,,,,,,,,,
62,1,0.0983,79.4RG,212.2RG,175.5RG,,,,,,,,,,,,,
63,1,0.1124,193.3RG,277.5RG,96.4RG,520.2,286.4,59.5,259.4,,,,,,,,,
64,1,0.0994,404.1RG,478.1RG,229.2RG,,,,,,,,,,,,,
65,1,0.0766,325.3RG,108.4RG,466.2RG,94.5RG,,,,,,,,,,,,
66,1,0.0963,81.4RG,269.1RG,,,,,,,,,,,,,,
67,1,0.1073,290.4RG,202.2RG,420.2RG,224.4,389.3,,,,,,,,,,,
68,1,0.0983,325.5RG,388.5RG,361.1RG,231.5RG,,,,,,,,,,,,
69,1,0.0967,368.2RG,185.4RG,328.3RG,434.3,,,,,,,,,,,,
70,1,0.1619,452.3RG,365.1RG,377.1RG,300.3RG,241.4RG,,,,,,,,,,,
71,1,0.0987,308.2RG,195.2RG,258.1RG,424.2RG,401.4,210.5,,,,,,,,,,
72,1,0.0994,181.2RG,141.5RG,217.4RG,31.5RG,228.3RG,83.1,392.3,,,,,,,,,
73,1,0.0916,104.5RG,172.4RG,118.3RG,,,,,,,,,,,,,
74,1,0.0991,35.5RG,503.2RG,4.3RG,261.3,319.3,,,,,,,,,,,
75,1,0.0994,332.2RG,480.3RG,298.4,,,,,,,,,,,,,
76,1,0.0934,242.1RG,111.2RG,,,,,,,,,,,,,,
77,1,0.101,103.1RG,317.2RG,119.1RG,73.4RG,365.4RG,,,,,,,,,,,
78,1,0.1637,111.4RG,336.3RG,179.4RG,325.4RG,,,,,,,,,,,,
79,1,0.0986,107.4RG,198.4RG,115.5RG,442.2,,,,,,,,,,,,
80,1,0.0995,531.2RG,53.3RG,214.1RG,153.1RG,,,,,,,,,,,,
81,1,0.0974,373.2RG,455.3RG,78.4,470.1,,,,,,,,,,,,
82,1,0.0985,47.4RG,472.1RG,256.2,199.3,486.1,,,,,,,,,,,
83,1,0.0882,218.1RG,393.3RG,,,,,,,,,,,,,,
84,1,0.099,275.1RG,54.1RG,95.3RG,,,,,,,,,,,,,
85,1,0.0971,187.3RG,56.5RG,290.3RG,,,,,,,,,,,,,
86,1,0.0993,32.1RG,215.5RG,157.4RG,310.5,373.5,,,,,,,,,,,
87,1,0.0978,140.1RG,26.5RG,113.2RG,125.4,,,,,,,,,,,,
88,1,0.1505,315.2RG,62.4RG,237.1RG,53.5RG,,,,,,,,,,,,
89,1,0.1096,72.5RG,405.2RG,264.5RG,295.3RG,,,,,,,,,,,,
90,1,0.0992,41.2RG,127.1RG,370.1RG,167.1,,,,,,,,,,,,
91,1,0.099,458.3RG,350.4RG,57.4RG,149.5RG,86.3,50.4,74.5,246.2,152.5,,,,,,,
92,1,0.1023,94.2RG,381.2RG,477.1,304.2,75.4,,,,,,,,,,,
93,1,0.0993,94.4RG,260.4RG,414.1RG,207.3RG,162.4,488.2,234.1,,,,,,,,,
94,0.9772,0.1108,62.2RG,171.3RG,340.2RG,473.2RG,136.2,406.4,,,,,,,,,,
95,1,0.2789,206.5RG,317.4RG,110.3RG,292.4RG,44.3RG,386.3RG,,,,,,,,,,
96,1,0.0991,276.2RG,35.2RG,114.5RG,178.5,440.4,,,,,,,,,,,
97,1,0.0992,371.3RG,193.1RG,175.3RG,263.5RG,,,,,,,,,,,,
98,1,0.0973,405.1RG,331.1RG,376.1,,,,,,,,,,,,,
