Tentative compound ID#,SBSE1,SBSE10,SBSE11,SBSE12,SBSE13,SBSE14,SBSE15,SBSE16,SBSE3,SBSE9,SBSE4,SBSE5,SBSE6,SBSE7,SBSE8,SBSE2,pval
4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.7100281378519226
7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.276822714688858
12,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0.28042097222936935
13,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0.5626156686992476
14,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0.6963619219820583
15,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.8662133726349168
16,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0.5034000494530544
17,1,0,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0.2804209722293698
18,1,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0.5034000494530544
19,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0.6963619219820578
21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7100281378519226
23,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0.00010751117672946897
24,1,1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0.12873504895794774
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
26,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0.5034000494530544
27,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0.8899519866505381
29,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0.21156368670330417
30,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.11384629800665769
31,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0.12800542612569377
32,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.11384629800665769
34,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0.8899519866505381
35,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0.4243278351260509
36,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.11384629800665769
40,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.038433930236781544
41,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0.12873504895794774
42,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.11384629800665769
43,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0.8899519866505381
44,0,1,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0.6963619219820587
46,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0.28042097222936957
51,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,2.539628507491898e-10
53,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0.4243278351260509
54,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1.0
55,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0.2825564792379551
57,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.5257060830333564
58,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.5257060830333566
61,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0.8662133726349168
63,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.038433930236781766
66,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0.7872806277783466
69,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.11384629800665769
70,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.11384629800665791
71,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0.2825564792379551
73,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.5257060830333566
75,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0.0013698285181453773
76,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0.5257060830333564
77,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0.12873504895794774
78,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0.0
79,1,0,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0.5034000494530544
80,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0.12873504895794774
